ISPU PM2.5,prediksi_pm25,residual,abs_error,kategori_aktual,kategori_prediksi
42.904053,49.325714,-6.4216614,6.4216614,Baik,Baik
63.231575,44.76405,18.467525,18.467525,Sedang,Baik
60.49755,68.72662,-8.229073,8.229073,Sedang,Sedang
47.073845,42.084656,4.989189,4.989189,Baik,Baik
30.415218,40.06446,-9.649242,9.649242,Baik,Baik
29.451584,43.050545,-13.598961,13.598961,Baik,Baik
30.302614,44.708412,-14.405798,14.405798,Baik,Baik
40.92722,43.507866,-2.5806465,2.5806465,Baik,Baik
72.45981,52.175987,20.283821,20.283821,Sedang,Sedang
78.32504,78.21438,0.11066437,0.11066437,Sedang,Sedang
58.36785,51.820152,6.547699,6.547699,Sedang,Sedang
56.82617,51.155754,5.670418,5.670418,Sedang,Sedang
15.210542,50.395462,-35.18492,35.18492,Baik,Sedang
41.00664,48.87452,-7.867878,7.867878,Baik,Baik
45.478794,42.166634,3.3121605,3.3121605,Baik,Baik
43.108387,46.970703,-3.8623161,3.8623161,Baik,Baik
35.787075,32.497665,3.2894096,3.2894096,Baik,Baik
43.6831,41.00741,2.6756935,2.6756935,Baik,Baik
40.94362,53.49561,-12.5519905,12.5519905,Baik,Sedang
56.85468,53.228363,3.626316,3.626316,Sedang,Sedang
33.8529,54.86963,-21.016727,21.016727,Baik,Sedang
36.91248,44.09247,-7.179989,7.179989,Baik,Baik
46.82404,42.4514,4.3726387,4.3726387,Baik,Baik
53.29772,58.328926,-5.031204,5.031204,Sedang,Sedang
50.7783,57.08838,-6.3100777,6.3100777,Sedang,Sedang
62.20912,55.981014,6.2281075,6.2281075,Sedang,Sedang
46.523483,53.861656,-7.338173,7.338173,Baik,Sedang
57.371307,55.05426,2.317047,2.317047,Sedang,Sedang
67.63463,54.391888,13.242741,13.242741,Sedang,Sedang
66.13034,68.98656,-2.8562164,2.8562164,Sedang,Sedang
61.13568,63.51797,-2.38229,2.38229,Sedang,Sedang
55.141716,58.350212,-3.208496,3.208496,Sedang,Sedang
42.3089,46.13625,-3.8273506,3.8273506,Baik,Baik
61.211735,90.60817,-29.396435,29.396435,Sedang,Sedang
67.556915,77.48965,-9.932732,9.932732,Sedang,Sedang
84.36978,84.302155,0.06762695,0.06762695,Sedang,Sedang
92.61287,90.0978,2.515068,2.515068,Sedang,Sedang
84.48957,87.6131,-3.1235275,3.1235275,Sedang,Sedang
84.22749,75.692055,8.535439,8.535439,Sedang,Sedang
91.33101,87.28588,4.045128,4.045128,Sedang,Sedang
97.91637,88.426285,9.490082,9.490082,Sedang,Sedang
93.739235,97.87057,-4.1313324,4.1313324,Sedang,Sedang
94.73398,89.436806,5.2971725,5.2971725,Sedang,Sedang
105.26392,100.9917,4.2722244,4.2722244,Tidak Sehat,Tidak Sehat
101.58478,96.86433,4.7204514,4.7204514,Tidak Sehat,Sedang
95.11626,94.43727,0.6789856,0.6789856,Sedang,Sedang
70.06436,82.28415,-12.219788,12.219788,Sedang,Sedang
78.414955,71.2209,7.1940536,7.1940536,Sedang,Sedang
50.944393,89.33025,-38.38586,38.38586,Sedang,Sedang
78.583336,72.73207,5.851265,5.851265,Sedang,Sedang
88.81833,87.28266,1.5356674,1.5356674,Sedang,Sedang
103.72405,92.875046,10.849007,10.849007,Tidak Sehat,Sedang
100.918495,93.346115,7.57238,7.57238,Tidak Sehat,Sedang
86.299995,83.45315,2.8468475,2.8468475,Sedang,Sedang
85.761086,79.63686,6.124222,6.124222,Sedang,Sedang
84.07852,86.372116,-2.2935944,2.2935944,Sedang,Sedang
96.53763,82.767685,13.769943,13.769943,Sedang,Sedang
106.27151,90.882164,15.389343,15.389343,Tidak Sehat,Sedang
100.46345,100.27778,0.18566895,0.18566895,Tidak Sehat,Tidak Sehat
101.92547,97.73338,4.1920853,4.1920853,Tidak Sehat,Sedang
103.34122,98.09199,5.2492294,5.2492294,Tidak Sehat,Sedang
102.610085,88.03503,14.575058,14.575058,Tidak Sehat,Sedang
94.58967,98.51369,-3.9240189,3.9240189,Sedang,Sedang
99.432045,92.9075,6.524544,6.524544,Sedang,Sedang
113.07177,103.31935,9.7524185,9.7524185,Tidak Sehat,Tidak Sehat
92.68901,99.858765,-7.169754,7.169754,Sedang,Sedang
79.923805,82.32165,-2.3978424,2.3978424,Sedang,Sedang
96.07471,81.22141,14.853294,14.853294,Sedang,Sedang
99.17732,102.28093,-3.1036072,3.1036072,Sedang,Tidak Sehat
96.22845,84.006645,12.221802,12.221802,Sedang,Sedang
113.44406,97.751495,15.692566,15.692566,Tidak Sehat,Sedang
91.19603,97.9645,-6.768471,6.768471,Sedang,Sedang
102.9276,87.61147,15.316124,15.316124,Tidak Sehat,Sedang
117.72009,101.262535,16.457558,16.457558,Tidak Sehat,Tidak Sehat
79.63791,107.04788,-27.409973,27.409973,Sedang,Tidak Sehat
88.650856,75.19792,13.452934,13.452934,Sedang,Sedang
84.171135,92.264046,-8.092911,8.092911,Sedang,Sedang
90.01478,86.03246,3.982315,3.982315,Sedang,Sedang
84.01552,91.288605,-7.2730865,7.2730865,Sedang,Sedang
79.98409,79.86372,0.12036896,0.12036896,Sedang,Sedang
80.9147,82.35168,-1.4369736,1.4369736,Sedang,Sedang
78.353546,75.99719,2.3563538,2.3563538,Sedang,Sedang
78.24056,69.73398,8.506584,8.506584,Sedang,Sedang
67.18589,68.78122,-1.5953293,1.5953293,Sedang,Sedang
75.162605,66.7927,8.369904,8.369904,Sedang,Sedang
68.08625,80.66183,-12.575577,12.575577,Sedang,Sedang
88.36898,69.02505,19.343933,19.343933,Sedang,Sedang
86.153595,87.73768,-1.5840836,1.5840836,Sedang,Sedang
86.18999,81.382866,4.8071213,4.8071213,Sedang,Sedang
84.19343,84.14815,0.045280457,0.045280457,Sedang,Sedang
90.18961,85.78902,4.4005966,4.4005966,Sedang,Sedang
86.89115,84.46518,2.425972,2.425972,Sedang,Sedang
79.418655,85.95987,-6.541214,6.541214,Sedang,Sedang
83.42783,83.35508,0.072753906,0.072753906,Sedang,Sedang
82.074524,85.93948,-3.8649597,3.8649597,Sedang,Sedang
93.10915,83.1889,9.92025,9.92025,Sedang,Sedang
103.17024,98.59446,4.575783,4.575783,Tidak Sehat,Sedang
94.18395,92.30453,1.879425,1.879425,Sedang,Sedang
87.46526,84.91991,2.5453568,2.5453568,Sedang,Sedang
99.520515,83.61647,15.904045,15.904045,Sedang,Sedang
82.24071,85.98259,-3.7418823,3.7418823,Sedang,Sedang
81.16678,76.97981,4.186966,4.186966,Sedang,Sedang
93.8885,75.892075,17.996422,17.996422,Sedang,Sedang
86.69971,81.66238,5.0373306,5.0373306,Sedang,Sedang
77.72762,80.8392,-3.11158,3.11158,Sedang,Sedang
96.0699,77.70344,18.366463,18.366463,Sedang,Sedang
92.37318,95.35254,-2.9793625,2.9793625,Sedang,Sedang
92.788284,87.39773,5.3905563,5.3905563,Sedang,Sedang
92.15634,89.66459,2.4917526,2.4917526,Sedang,Sedang
81.33379,80.382034,0.95175934,0.95175934,Sedang,Sedang
77.89473,82.6277,-4.732971,4.732971,Sedang,Sedang
111.29682,78.53928,32.757538,32.757538,Tidak Sehat,Sedang
84.862526,91.931366,-7.06884,7.06884,Sedang,Sedang
79.784706,80.31912,-0.5344162,0.5344162,Sedang,Sedang
81.94694,83.35223,-1.4052887,1.4052887,Sedang,Sedang
88.13095,83.06885,5.0621033,5.0621033,Sedang,Sedang
79.05321,75.591606,3.4616013,3.4616013,Sedang,Sedang
90.05225,70.12505,19.9272,19.9272,Sedang,Sedang
96.739586,74.76052,21.979065,21.979065,Sedang,Sedang
80.09722,91.973946,-11.876724,11.876724,Sedang,Sedang
74.56489,79.3178,-4.7529144,4.7529144,Sedang,Sedang
75.52737,78.91249,-3.3851242,3.3851242,Sedang,Sedang
63.23231,77.72545,-14.493137,14.493137,Sedang,Sedang
59.67562,75.42673,-15.751106,15.751106,Sedang,Sedang
