tanggal,station,ISPU PM2.5,prediksi_pm25,residual,abs_error,kategori_aktual,kategori_prediksi
2024-08-20,jagakarsa,98.333336,84.46161,13.871727,13.871727,Sedang,Sedang
2024-08-21,jagakarsa,103.5,94.374306,9.125694,9.125694,Tidak Sehat,Sedang
2024-08-22,jagakarsa,93.208336,93.42387,-0.2155304,0.2155304,Sedang,Sedang
2024-08-23,jagakarsa,86.375,83.11121,3.2637863,3.2637863,Sedang,Sedang
2024-08-24,jagakarsa,92.791664,82.59472,10.196945,10.196945,Sedang,Sedang
2024-08-25,jagakarsa,87.166664,88.89574,-1.7290726,1.7290726,Sedang,Sedang
2024-08-26,jagakarsa,86.291664,77.91759,8.374077,8.374077,Sedang,Sedang
2024-08-27,jagakarsa,99.625,84.340324,15.284676,15.284676,Sedang,Sedang
2024-08-28,jagakarsa,82.0,92.169174,-10.169174,10.169174,Sedang,Sedang
2024-08-29,jagakarsa,89.708336,82.996254,6.712082,6.712082,Sedang,Sedang
2024-08-30,jagakarsa,85.75,86.03222,-0.28221893,0.28221893,Sedang,Sedang
2024-08-31,jagakarsa,72.833336,83.52398,-10.690643,10.690643,Sedang,Sedang
2024-09-01,jagakarsa,78.666664,69.49536,9.171303,9.171303,Sedang,Sedang
2024-09-02,jagakarsa,81.625,76.24267,5.382332,5.382332,Sedang,Sedang
2024-09-03,jagakarsa,75.875,78.9784,-3.1034012,3.1034012,Sedang,Sedang
2024-09-04,jagakarsa,71.291664,79.238914,-7.9472504,7.9472504,Sedang,Sedang
2024-09-05,jagakarsa,67.0,73.84325,-6.8432465,6.8432465,Sedang,Sedang
2024-09-06,jagakarsa,69.416664,72.20439,-2.7877274,2.7877274,Sedang,Sedang
2024-09-07,jagakarsa,73.083336,69.21111,3.872223,3.872223,Sedang,Sedang
2024-09-08,jagakarsa,70.416664,65.28236,5.134308,5.134308,Sedang,Sedang
2024-09-09,jagakarsa,60.916668,64.4996,-3.5829353,3.5829353,Sedang,Sedang
2024-09-10,jagakarsa,52.416668,63.3402,-10.923531,10.923531,Sedang,Sedang
2024-09-11,jagakarsa,0.0,68.86978,-68.86978,68.86978,Baik,Sedang
2024-09-12,jagakarsa,66.375,58.543198,7.8318024,7.8318024,Sedang,Sedang
2024-09-13,jagakarsa,71.75,74.29296,-2.5429611,2.5429611,Sedang,Sedang
2024-09-14,jagakarsa,71.916664,73.440544,-1.52388,1.52388,Sedang,Sedang
2024-09-15,jagakarsa,71.416664,71.55927,-0.14260864,0.14260864,Sedang,Sedang
2024-09-16,jagakarsa,82.333336,69.68426,12.649078,12.649078,Sedang,Sedang
2024-09-17,jagakarsa,77.291664,77.03594,0.25572205,0.25572205,Sedang,Sedang
2024-09-18,jagakarsa,68.291664,78.674545,-10.382881,10.382881,Sedang,Sedang
2024-09-19,jagakarsa,73.0,76.38898,-3.388977,3.388977,Sedang,Sedang
2024-09-20,jagakarsa,77.833336,76.93478,0.8985596,0.8985596,Sedang,Sedang
2024-09-21,jagakarsa,85.333336,75.38842,9.944916,9.944916,Sedang,Sedang
2024-09-22,jagakarsa,73.0,79.92723,-6.927231,6.927231,Sedang,Sedang
2024-09-23,jagakarsa,81.0,70.55215,10.447853,10.447853,Sedang,Sedang
2024-09-24,jagakarsa,76.791664,74.428925,2.3627396,2.3627396,Sedang,Sedang
2024-09-25,jagakarsa,79.333336,74.50478,4.8285522,4.8285522,Sedang,Sedang
2024-09-26,jagakarsa,64.541664,73.07253,-8.530869,8.530869,Sedang,Sedang
2024-09-27,jagakarsa,65.833336,69.28413,-3.4507904,3.4507904,Sedang,Sedang
2024-09-28,jagakarsa,78.583336,66.73476,11.848579,11.848579,Sedang,Sedang
2024-09-29,jagakarsa,73.0,69.32446,3.675537,3.675537,Sedang,Sedang
2024-09-30,jagakarsa,70.041664,68.17097,1.870697,1.870697,Sedang,Sedang
2024-10-01,jagakarsa,86.25,71.87526,14.374741,14.374741,Sedang,Sedang
2024-10-02,jagakarsa,86.291664,81.39417,4.8974915,4.8974915,Sedang,Sedang
2024-10-03,jagakarsa,80.208336,81.82753,-1.619194,1.619194,Sedang,Sedang
2024-10-04,jagakarsa,75.083336,78.907326,-3.8239899,3.8239899,Sedang,Sedang
2024-10-05,jagakarsa,69.875,71.06567,-1.1906662,1.1906662,Sedang,Sedang
2024-10-06,jagakarsa,70.875,70.59885,0.27615356,0.27615356,Sedang,Sedang
2024-10-07,jagakarsa,109.583336,67.39114,42.192192,42.192192,Tidak Sehat,Sedang
2024-10-08,jagakarsa,75.791664,83.68919,-7.8975296,7.8975296,Sedang,Sedang
2024-10-09,jagakarsa,77.125,76.67677,0.44822693,0.44822693,Sedang,Sedang
2024-10-10,jagakarsa,73.5,78.18273,-4.6827316,4.6827316,Sedang,Sedang
2024-10-11,jagakarsa,73.0,76.10356,-3.1035614,3.1035614,Sedang,Sedang
2024-10-12,jagakarsa,73.0,69.31114,3.688858,3.688858,Sedang,Sedang
2024-10-13,jagakarsa,73.0,67.156815,5.8431854,5.8431854,Sedang,Sedang
2024-10-14,jagakarsa,73.0,62.713013,10.286987,10.286987,Sedang,Sedang
2024-10-15,jagakarsa,73.0,72.78727,0.21273041,0.21273041,Sedang,Sedang
2024-10-16,jagakarsa,73.0,74.180176,-1.1801758,1.1801758,Sedang,Sedang
2024-10-17,jagakarsa,73.0,75.69549,-2.695488,2.695488,Sedang,Sedang
2024-10-18,jagakarsa,69.666664,74.62583,-4.9591675,4.9591675,Sedang,Sedang
2024-10-19,jagakarsa,89.541664,72.47101,17.070656,17.070656,Sedang,Sedang
2024-10-20,jagakarsa,73.0,81.95835,-8.958351,8.958351,Sedang,Sedang
2024-10-21,jagakarsa,73.0,62.694916,10.305084,10.305084,Sedang,Sedang
2024-10-22,jagakarsa,73.041664,74.84874,-1.8070755,1.8070755,Sedang,Sedang
2024-10-23,jagakarsa,71.291664,74.886894,-3.59523,3.59523,Sedang,Sedang
2024-10-24,jagakarsa,73.0,74.92671,-1.926712,1.926712,Sedang,Sedang
2024-10-25,jagakarsa,71.75,69.22592,2.5240784,2.5240784,Sedang,Sedang
2024-10-26,jagakarsa,67.5,70.38398,-2.8839798,2.8839798,Sedang,Sedang
2024-10-27,jagakarsa,73.416664,65.371635,8.045029,8.045029,Sedang,Sedang
2024-10-28,jagakarsa,74.083336,68.89721,5.1861267,5.1861267,Sedang,Sedang
2024-10-29,jagakarsa,74.458336,74.69124,-0.23290253,0.23290253,Sedang,Sedang
2024-10-30,jagakarsa,73.0,76.58573,-3.5857315,3.5857315,Sedang,Sedang
2024-10-31,jagakarsa,73.0,75.77826,-2.7782593,2.7782593,Sedang,Sedang
2024-11-01,jagakarsa,75.958336,72.784645,3.1736908,3.1736908,Sedang,Sedang
2024-11-02,jagakarsa,82.333336,71.4209,10.912437,10.912437,Sedang,Sedang
2024-11-03,jagakarsa,68.0,58.63978,9.360222,9.360222,Sedang,Sedang
2024-11-04,jagakarsa,59.5,64.94799,-5.4479904,5.4479904,Sedang,Sedang
2024-11-05,jagakarsa,70.583336,68.91606,1.6672745,1.6672745,Sedang,Sedang
2024-11-06,jagakarsa,58.25,70.02104,-11.771042,11.771042,Sedang,Sedang
2024-11-07,jagakarsa,68.125,69.5221,-1.3971024,1.3971024,Sedang,Sedang
2024-11-08,jagakarsa,83.375,72.98084,10.394157,10.394157,Sedang,Sedang
2024-11-09,jagakarsa,79.0,77.50147,1.4985275,1.4985275,Sedang,Sedang
2024-11-10,jagakarsa,73.0,67.8376,5.1623993,5.1623993,Sedang,Sedang
2024-11-11,jagakarsa,73.0,60.055458,12.944542,12.944542,Sedang,Sedang
2024-11-12,jagakarsa,63.083332,61.292816,1.7905159,1.7905159,Sedang,Sedang
2024-11-13,jagakarsa,70.333336,71.25749,-0.9241562,0.9241562,Sedang,Sedang
2024-11-14,jagakarsa,97.625,74.6795,22.945503,22.945503,Sedang,Sedang
2024-11-15,jagakarsa,101.083336,85.93812,15.145218,15.145218,Tidak Sehat,Sedang
2024-11-16,jagakarsa,88.75,85.26045,3.4895477,3.4895477,Sedang,Sedang
2024-11-17,jagakarsa,87.708336,78.870804,8.837532,8.837532,Sedang,Sedang
2024-11-18,jagakarsa,63.708332,78.54299,-14.83466,14.83466,Sedang,Sedang
2024-11-19,jagakarsa,57.083332,68.93323,-11.8498955,11.8498955,Sedang,Sedang
2024-11-20,jagakarsa,52.5,70.113556,-17.613556,17.613556,Sedang,Sedang
2024-11-21,jagakarsa,73.0,67.824745,5.175255,5.175255,Sedang,Sedang
2024-11-22,jagakarsa,71.5,71.87288,-0.37287903,0.37287903,Sedang,Sedang
2024-11-23,jagakarsa,62.708332,65.114265,-2.4059334,2.4059334,Sedang,Sedang
2024-11-24,jagakarsa,56.375,53.716793,2.658207,2.658207,Sedang,Sedang
2024-11-25,jagakarsa,52.0,63.77136,-11.7713585,11.7713585,Sedang,Sedang
2024-11-26,jagakarsa,59.0,57.885067,1.114933,1.114933,Sedang,Sedang
2024-11-27,jagakarsa,63.416668,71.039894,-7.623226,7.623226,Sedang,Sedang
2024-11-28,jagakarsa,7.375,67.970825,-60.595825,60.595825,Baik,Sedang
2024-11-29,jagakarsa,37.083332,51.416695,-14.333363,14.333363,Baik,Sedang
2024-11-30,jagakarsa,65.416664,47.25204,18.164623,18.164623,Sedang,Baik
2024-12-01,jagakarsa,66.583336,69.618454,-3.035118,3.035118,Sedang,Sedang
2024-12-02,jagakarsa,51.708332,49.888477,1.8198547,1.8198547,Sedang,Baik
2024-12-03,jagakarsa,32.083332,46.367233,-14.283901,14.283901,Baik,Baik
2024-12-04,jagakarsa,73.0,49.04025,23.959751,23.959751,Sedang,Baik
2024-12-05,jagakarsa,73.0,61.403973,11.596027,11.596027,Sedang,Sedang
2024-12-06,jagakarsa,73.0,60.137535,12.862465,12.862465,Sedang,Sedang
2024-12-07,jagakarsa,73.0,66.22971,6.7702866,6.7702866,Sedang,Sedang
2024-12-08,jagakarsa,73.0,74.277,-1.2770004,1.2770004,Sedang,Sedang
2024-12-09,jagakarsa,73.0,55.91843,17.08157,17.08157,Sedang,Sedang
